year,city,avg_temp,5-Year MA,year,avg_temp,5-Year MA,,
1808,Ottawa,3.81,3.972,1808,7.63,8.348,,
1809,Ottawa,3.05,3.766,1809,7.08,7.996,,
1810,Ottawa,3.53,3.534,1810,6.92,7.668,,
1811,Ottawa,3.7,3.528,1811,6.86,7.354,,
1812,Ottawa,2.04,3.226,1812,7.05,7.108,,
1813,Ottawa,3.35,3.134,1813,7.74,7.13,,
1814,Ottawa,3.17,3.158,1814,7.59,7.232,,
1815,Ottawa,2.67,2.986,1815,7.24,7.296,,
1816,Ottawa,2.21,2.688,1816,6.94,7.312,,
1817,Ottawa,2.21,2.722,1817,6.98,7.298,,
1818,Ottawa,2.83,2.618,1818,7.83,7.316,,
1819,Ottawa,3.33,2.65,1819,7.37,7.272,,
1820,Ottawa,3.34,2.784,1820,7.62,7.348,,
1821,Ottawa,3.19,2.98,1821,8.09,7.578,,
1822,Ottawa,3.74,3.286,1822,8.19,7.82,,
1823,Ottawa,2.81,3.282,1823,7.72,7.798,,
1824,Ottawa,3.53,3.322,1824,8.55,8.034,,
1825,Ottawa,4.51,3.556,1825,8.39,8.188,,
1826,Ottawa,4.44,3.806,1826,8.36,8.242,,
1827,Ottawa,3.81,3.82,1827,8.81,8.366,,
1828,Ottawa,4.8,4.218,1828,8.17,8.456,,
1829,Ottawa,3.39,4.19,1829,7.94,8.334,,
1830,Ottawa,4.17,4.122,1830,8.52,8.36,,
1831,Ottawa,3.45,3.924,1831,7.64,8.216,,
1832,Ottawa,3.57,3.876,1832,7.45,7.944,,
1833,Ottawa,3.54,3.624,1833,8.01,7.912,,
1834,Ottawa,3.73,3.692,1834,8.15,7.954,,
1835,Ottawa,2.59,3.376,1835,7.39,7.728,,
1836,Ottawa,2.17,3.12,1836,7.7,7.74,,
1837,Ottawa,2.46,2.898,1837,7.38,7.726,,
1838,Ottawa,2.75,2.74,1838,7.51,7.626,,
1839,Ottawa,3.65,2.724,1839,7.63,7.522,,
1840,Ottawa,3.91,2.988,1840,7.8,7.604,,
1841,Ottawa,3.39,3.232,1841,7.69,7.602,,
1842,Ottawa,3.43,3.426,1842,8.02,7.73,,
1843,Ottawa,2.98,3.472,1843,8.17,7.862,,
1844,Ottawa,2.94,3.33,1844,7.65,7.866,,
1845,Ottawa,3.23,3.194,1845,7.85,7.876,,
1846,Ottawa,4.04,3.324,1846,8.55,8.048,,
1847,Ottawa,3.52,3.342,1847,8.09,8.062,,
1848,Ottawa,3.78,3.502,1848,7.98,8.024,,
1849,Ottawa,3.19,3.552,1849,7.98,8.09,,
1850,Ottawa,3.33,3.572,1850,7.9,8.1,,
1851,Ottawa,3.22,3.408,1851,8.18,8.026,,
1852,Ottawa,3.37,3.378,1852,8.1,8.028,,
1853,Ottawa,3.59,3.34,1853,8.04,8.04,,
1854,Ottawa,3.42,3.386,1854,8.21,8.086,,
1855,Ottawa,3.38,3.396,1855,8.11,8.128,,
1856,Ottawa,2.67,3.286,1856,8,8.092,,
1857,Ottawa,3.17,3.246,1857,7.76,8.024,,
1858,Ottawa,3.27,3.182,1858,8.1,8.036,,
1859,Ottawa,3.21,3.14,1859,8.25,8.044,,
1860,Ottawa,3.58,3.18,1860,7.96,8.014,,
1861,Ottawa,3.46,3.338,1861,7.85,7.984,,
1862,Ottawa,2.81,3.266,1862,7.56,7.944,,
1863,Ottawa,3.22,3.256,1863,8.11,7.946,,
1864,Ottawa,3.99,3.412,1864,7.98,7.892,,
1865,Ottawa,3.83,3.462,1865,8.18,7.936,,
1866,Ottawa,3.29,3.428,1866,8.29,8.024,,
1867,Ottawa,3,3.466,1867,8.44,8.2,,
1868,Ottawa,2.81,3.384,1868,8.25,8.228,,
1869,Ottawa,3.11,3.208,1869,8.43,8.318,,
1870,Ottawa,4.76,3.394,1870,8.2,8.322,,
1871,Ottawa,3.24,3.384,1871,8.12,8.288,,
1872,Ottawa,3.3,3.444,1872,8.19,8.238,,
1873,Ottawa,2.94,3.47,1873,8.35,8.258,,
1874,Ottawa,3.18,3.484,1874,8.43,8.258,,
1875,Ottawa,1.55,2.842,1875,7.86,8.19,,
1876,Ottawa,3.37,2.868,1876,8.08,8.182,,
1877,Ottawa,5.01,3.21,1877,8.54,8.252,,
1878,Ottawa,5.39,3.7,1878,8.83,8.348,,
1879,Ottawa,3.09,3.682,1879,8.17,8.296,,
1880,Ottawa,4.12,4.196,1880,8.12,8.348,,
1881,Ottawa,4.49,4.42,1881,8.27,8.386,,
1882,Ottawa,3.74,4.166,1882,8.13,8.304,,
1883,Ottawa,2.43,3.574,1883,7.98,8.134,,
1884,Ottawa,3.48,3.652,1884,7.77,8.054,,
1885,Ottawa,2.28,3.284,1885,7.92,8.014,,
1886,Ottawa,3.31,3.048,1886,7.95,7.95,,
1887,Ottawa,3.11,2.922,1887,7.91,7.906,,
1888,Ottawa,2.65,2.966,1888,8.09,7.928,,
1889,Ottawa,4.4,3.15,1889,8.32,8.038,,
1890,Ottawa,3.19,3.332,1890,7.97,8.048,,
1891,Ottawa,4.54,3.578,1891,8.02,8.062,,
1892,Ottawa,3.67,3.69,1892,8.07,8.094,,
1893,Ottawa,2.94,3.748,1893,8.06,8.088,,
1894,Ottawa,4.52,3.772,1894,8.16,8.056,,
1895,Ottawa,3.95,3.924,1895,8.15,8.092,,
1896,Ottawa,3.61,3.738,1896,8.21,8.13,,
1897,Ottawa,4.04,3.812,1897,8.29,8.174,,
1898,Ottawa,4.96,4.216,1898,8.18,8.198,,
1899,Ottawa,4.22,4.156,1899,8.4,8.246,,
1900,Ottawa,4.19,4.204,1900,8.5,8.316,,
1901,Ottawa,4.11,4.304,1901,8.54,8.382,,
1902,Ottawa,4.1,4.316,1902,8.3,8.384,,
1903,Ottawa,3.99,4.122,1903,8.22,8.392,,
1904,Ottawa,2.19,3.716,1904,8.09,8.33,,
1905,Ottawa,3.31,3.54,1905,8.23,8.276,,
1906,Ottawa,4.16,3.55,1906,8.38,8.244,,
1907,Ottawa,2.94,3.318,1907,7.95,8.174,,
1908,Ottawa,4.06,3.332,1908,8.19,8.168,,
1909,Ottawa,3.98,3.69,1909,8.18,8.186,,
1910,Ottawa,4.28,3.884,1910,8.22,8.184,,
1911,Ottawa,4.43,3.938,1911,8.18,8.144,,
1912,Ottawa,3.11,3.972,1912,8.17,8.188,,
1913,Ottawa,5.01,4.162,1913,8.3,8.21,,
1914,Ottawa,3.14,3.994,1914,8.59,8.292,,
1915,Ottawa,5.02,4.142,1915,8.59,8.366,,
1916,Ottawa,3.91,4.038,1916,8.23,8.376,,
1917,Ottawa,2.15,3.846,1917,8.02,8.346,,
1918,Ottawa,3.55,3.554,1918,8.13,8.312,,
1919,Ottawa,4.32,3.79,1919,8.38,8.27,,
1920,Ottawa,4.05,3.596,1920,8.36,8.224,,
1921,Ottawa,5.51,3.916,1921,8.57,8.292,,
1922,Ottawa,4.51,4.388,1922,8.41,8.37,,
1923,Ottawa,3.33,4.344,1923,8.42,8.428,,
1924,Ottawa,3.43,4.166,1924,8.51,8.454,,
1925,Ottawa,3.89,4.134,1925,8.53,8.488,,
1926,Ottawa,2.59,3.55,1926,8.73,8.52,,
1927,Ottawa,4.49,3.546,1927,8.52,8.542,,
1928,Ottawa,3.98,3.676,1928,8.63,8.584,,
1929,Ottawa,3.71,3.732,1929,8.24,8.53,,
1930,Ottawa,4.73,3.9,1930,8.63,8.55,,
1931,Ottawa,5.79,4.54,1931,8.72,8.548,,
1932,Ottawa,4.69,4.58,1932,8.71,8.586,,
1933,Ottawa,4.19,4.622,1933,8.34,8.528,,
1934,Ottawa,3.39,4.558,1934,8.63,8.606,,
1935,Ottawa,3.61,4.334,1935,8.52,8.584,,
1936,Ottawa,3.7,3.916,1936,8.55,8.55,,
1937,Ottawa,5.23,4.024,1937,8.7,8.548,,
1938,Ottawa,4.81,4.148,1938,8.86,8.652,,
1939,Ottawa,3.71,4.212,1939,8.76,8.678,,
1940,Ottawa,3.49,4.188,1940,8.76,8.726,,
1941,Ottawa,4.76,4.4,1941,8.77,8.77,,
1942,Ottawa,4.8,4.314,1942,8.73,8.776,,
1943,Ottawa,3.26,4.004,1943,8.76,8.756,,
1944,Ottawa,4.63,4.188,1944,8.85,8.774,,
1945,Ottawa,4.64,4.418,1945,8.58,8.738,,
1946,Ottawa,4.78,4.422,1946,8.68,8.72,,
1947,Ottawa,4.41,4.344,1947,8.8,8.734,,
1948,Ottawa,4.84,4.66,1948,8.75,8.732,,
1949,Ottawa,5.48,4.83,1949,8.59,8.68,,
1950,Ottawa,4.13,4.728,1950,8.37,8.638,,
1951,Ottawa,4.63,4.698,1951,8.63,8.628,,
1952,Ottawa,5.36,4.888,1952,8.64,8.596,,
1953,Ottawa,6.12,5.144,1953,8.87,8.62,,
1954,Ottawa,4.26,4.9,1954,8.56,8.614,,
1955,Ottawa,4.87,5.048,1955,8.63,8.666,,
1956,Ottawa,3.86,4.894,1956,8.28,8.596,,
1957,Ottawa,4.88,4.798,1957,8.73,8.614,,
1958,Ottawa,3.9,4.354,1958,8.77,8.594,,
1959,Ottawa,4.56,4.414,1959,8.73,8.628,,
1960,Ottawa,4.83,4.406,1960,8.58,8.618,,
1961,Ottawa,4.69,4.572,1961,8.8,8.722,,
1962,Ottawa,3.84,4.364,1962,8.75,8.726,,
1963,Ottawa,3.73,4.33,1963,8.86,8.744,,
1964,Ottawa,4.82,4.382,1964,8.41,8.68,,
1965,Ottawa,3.88,4.192,1965,8.53,8.67,,
1966,Ottawa,4.62,4.178,1966,8.6,8.63,,
1967,Ottawa,3.95,4.2,1967,8.7,8.62,,
1968,Ottawa,4.24,4.302,1968,8.52,8.552,,
1969,Ottawa,4.63,4.264,1969,8.6,8.59,,
1970,Ottawa,3.98,4.284,1970,8.7,8.624,,
1971,Ottawa,4.14,4.188,1971,8.6,8.624,,
1972,Ottawa,3.33,4.064,1972,8.5,8.584,,
1973,Ottawa,5.47,4.31,1973,8.95,8.67,,
1974,Ottawa,3.92,4.168,1974,8.47,8.644,,
1975,Ottawa,4.97,4.366,1975,8.74,8.652,,
1976,Ottawa,3.48,4.234,1976,8.35,8.602,,
1977,Ottawa,4.69,4.506,1977,8.85,8.672,,
1978,Ottawa,3.6,4.132,1978,8.69,8.62,,
1979,Ottawa,4.79,4.306,1979,8.73,8.672,,
1980,Ottawa,3.7,4.052,1980,8.98,8.72,,
1981,Ottawa,5.1,4.376,1981,9.17,8.884,,
1982,Ottawa,4.16,4.27,1982,8.64,8.842,,
1983,Ottawa,5.13,4.576,1983,9.03,8.91,,
1984,Ottawa,4.88,4.594,1984,8.69,8.902,,
1985,Ottawa,4.09,4.672,1985,8.66,8.838,,
1986,Ottawa,4.5,4.552,1986,8.83,8.77,,
1987,Ottawa,5.27,4.774,1987,8.99,8.84,,
1988,Ottawa,4.84,4.716,1988,9.2,8.874,,
1989,Ottawa,3.68,4.476,1989,8.92,8.92,,
1990,Ottawa,5.57,4.772,1990,9.23,9.034,,
1991,Ottawa,5.46,4.964,1991,9.18,9.104,,
1992,Ottawa,3.69,4.648,1992,8.84,9.074,,
1993,Ottawa,3.96,4.472,1993,8.87,9.008,,
1994,Ottawa,4.06,4.548,1994,9.04,9.032,,
1995,Ottawa,4.81,4.396,1995,9.35,9.056,,
1996,Ottawa,4.66,4.236,1996,9.04,9.028,,
1997,Ottawa,3.99,4.296,1997,9.2,9.1,,
1998,Ottawa,6.68,4.84,1998,9.52,9.23,,
1999,Ottawa,6.02,5.232,1999,9.29,9.28,,
2000,Ottawa,4.61,5.192,2000,9.2,9.25,,
2001,Ottawa,6.01,5.462,2001,9.41,9.324,,
2002,Ottawa,5.47,5.758,2002,9.57,9.398,,
2003,Ottawa,4.4,5.302,2003,9.53,9.4,,
2004,Ottawa,4.46,4.99,2004,9.32,9.406,,
2005,Ottawa,5.53,5.174,2005,9.7,9.506,,
2006,Ottawa,6.3,5.232,2006,9.53,9.53,,
2007,Ottawa,4.96,5.13,2007,9.73,9.562,,
2008,Ottawa,5.01,5.252,2008,9.43,9.542,,
2009,Ottawa,4.71,5.302,2009,9.51,9.58,,
2010,Ottawa,6.73,5.542,2010,9.7,9.58,,
2011,Ottawa,6.14,5.51,2011,9.52,9.578,,
2012,Ottawa,6.59,5.836,2012,9.51,9.534,,
2013,Ottawa,7.08,6.25,2013,9.61,9.57,,
,,,,2014,9.57,9.582,,
,,,,2015,9.83,9.608,,
